Full_Category_Name
BACHELOR OF SCIENCE (FOOD NUTRITION & DIETETICS)
BACHELOR OF SCIENCE (FOOD SCIENCE & NUTRITION)
BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY)
BACHELOR OF SCIENCE (MEDICAL LABORATORY SCIENCE & TECHNOLOGY)
BACHELOR OF SCIENCE (OCCUPATIONAL HEALTH & SAFETY)
BACHELOR OF SCIENCE (TELECOMMUNICATION & INFORM. TECH)
BACHELOR OF ARTS (ECONOMICS & SOCIOLOGY)
BACHELOR OF ECONOMICS & STATISTICS
BACHELOR OF SCIENCE (ECONOMICS & STATISTICS)
BACHELOR OF ARTS (WITH EDUCATION)
BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS
"BACHELOR OF SCIENCE ( AGRICULTURAL ECONOMICS, WITH IT)"
BACHELOR OF SCIENCE (APPAREL & FASHION TECHNOLOGY)
BACHELOR OF HOSPITALITY AND TOURISM MANAGEMENT
BACHELOR OF HOTEL & HOSPITALITY MANAGEMENT
"BACHELOR OF SCIENCE (ECO-TOURISM, HOTEL AND INSTITUTION MANAGEMENT, WITH IT)"
BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
BACHELOR OF SCIENCE (BIOTECHNOLOGY)
BACHELOR OF TECHNOLOGY (BIOTECHNOLOGY)
BACHELOR OF ENVIRONMENTAL STUDIES (COMMUNITY DEVELOPMENT)
BACHELOR OF TRAVEL & TOURS OPERATIONS MANAGEMENT
BACHELOR OF INTERNATIONAL TOURISM MANAGEMENT [image]
BACHELOR OF INFORMATION TECHNOLOGY
BACHELOR OF ARTS (PSYCHOLOGY)
BACHELOR OF PSYCHOLOGY
BACHELOR OF SCIENCE (COMMUNITY DEVELOPMENT)
BACHELOR OF SCIENCE IN MECHATRONIC ENGINEERING
BACHELOR OF ARTS IN MASS COMMUNICATION
BACHELOR OF SCIENCE (COMMUNITY DEVELOPMENT AND ENVIRONMENT)
BACHELOR OF PROCUREMENT AND LOGISTICS MANAGEMENT
BACHELOR OF SCIENCE (MECHANICAL AND INDUSTRIAL ENGINEERING)
BACHELOR OF PURCHASING AND SUPPLY CHAIN MANAGEMENT
BACHELOR OF SCIENCE IN AGRIBUSINESS MANAGEMENT AND MARKETING
BACHELOR OF AGRIBUSINESS MANAGEMENT
BACHELOR OF SCIENCE IN AGRIBUSINESS MANAGEMENT AND TRADE
BACHELOR OF SCIENCE (PUBLIC MANAGEMENT AND DEVELOPMENT)
BACHELOR OF SCIENCE (FOOD SCIENCE AND NUTRITION)
BACHELOR OF SCIENCE (MICROBIOLOGY AND BIOTECHNOLOGY)
BACHELOR OF SCIENCE IN MICROBIOLOGY
BACHELOR OF TECHNOLOGY IN INDUSTRIAL MICROBIOLOGY & BIOTECHNOLOGY
BACHELOR OF SCIENCE (MEDICAL MICROBIOLOGY)
BACHELOR OF ENTREPRENUERSHIP & SMALL BUSINESS MANAGEMENT
BACHELOR OF REAL ESTATE
BACHELOR OF BUSINESS MANAGEMENT AND INFORMATION TECHNOLOGY
BACHELOR OF ARTS (GENDER AND DEVELOPMENT STUDIES)
"BACHELOR OF ARTS (DEVELOPMENT STUDIES, WITH IT)"
BACHELOR OF SCIENCE (MATHEMATICS & COMPUTER SCIENCE)
BACHELOR OF EDUCATION ARTS (HOME ECONOMICS)
BACHELOR OF SCIENCE (INDUSTRIAL MATHEMATICS)
BACHELOR OF ARTS IN ENVIRONMENTAL PLANNING AND MANAGEMENT
BACHELOR OF EDUCATION (PHYSICAL EDUCATION)
BACHELOR OF EDUCATION (PHYSICAL EDUCATION AND SPORTS)
BACHELOR OF EDUCATION IN TECHNOLOGY (MECHANICAL ENGINEERING)
BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)
BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING)
BACHELOR OF ARTS IN SUSTAINABLE HUMAN DEVELOPMENT
BACHELOR OF ARTS IN CHILD AND YOUTH STUDIES
BACHELOR OF ARTS IN SOCIAL COMMUNICATION
"BACHELOR OF ARTS (KISWAHILI, WITH IT)"
BACHELOR OF ARTS ( KISWAHILI AND COMMUNICATION)
BACHELOR OF EDUCATION (ARTS) WITH GUIDANCE AND COUNSELLING
BACHELOR OF PROJECT PLANNING AND MANAGEMENT
BACHELOR OF SCIENCE (FORESTRY)
BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION)
BACHELOR OF EDUCATION (SCIENCE) WITH SPECIAL NEEDS EDUCATION
BACHELOR OF EDUCATION (SCIENCE) WITH GUIDANCE AND COUNSELING
BACHELOR OF SCIENCE IN FINANCIAL ECONOMICS
BACHELOR OF ARTS (COUNSELLING PSYCHOLOGY)
BACHELOR OF SCIENCE (ELECTRONIC AND COMPUTER ENGINEERING)
BACHELOR OF SCIENCE (LAND RESOURCE PLANNING & MANAGEMENT)
BACHELOR OF SCIENCE (FINANCIAL ENGINEERING)
BACHELOR OF LANDSCAPE ARCHITECTURE
BACHELOR OF SCIENCE (FOOD OPERATIONS MANAGEMENT)
BACHELOR OF SCIENCE (ENVIRONMENTAL HORTICULTURE & LANDSCAPING TECHNOLOGY)
BACHELOR OF SCIENCE (SEED SCIENCE & TECHNOLOGY
BACHELOR OF SCIENCE (SOILS & LAND USE MANAGEMENT)
BACHELOR OF SCIENCE IN APPLIED ANIMAL LABORATORY SCIENCE
BACHELOR OF SCIENCE IN BIOTECHNOLOGY AND BIOSAFETY
BACHELOR OF SCIENCE IN ENTOMOLOGY AND PARASITOLOGY
BACHELOR OF SCIENCE IN ETHNOBOTANY
BACHELOR OF EDUCATION (HOME SCIENCE AND TECHNOLOGY)
BACHELOR OF SCIENCE (PHYSICS WITH APPROPRIATE TECHNOLOGY)
BACHELOR OF SCIENCE (PHYSICS)
BACHELOR OF SCIENCE (SUGAR AND AGRO PROCESSING TECHNOLOGY)
BACHELOR OF SCIENCE (EMERGENCY MANAGEMENT & HUMANITARIAN ASSISTANCE)
BACHELOR OF SCIENCE (LAND ADMINISTRATION)
BACHELOR OF TECHNOLOGY (DESIGN)
BACHELOR OF SCIENCE (GEOPHYSICS)
BACHELOR OF TECHNOLOGY (GEOINFORMATION TECHNOLOGY)
BACHELOR OF TECHNOLOGY (NUTRITION AND DIETETICS)
BACHELOR OF TECHNOLOGY (HOTEL AND RESTAURANT MANAGEMENT)
BACHELOR OF SCIENCE (MATHEMATICS WITH IT)
BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION)
BACHELOR OF EDUCATION (AGRICULTURAL EDUCATION)
BACHELOR OF SCIENCE (AGRICULTURAL EDUCATION AND EXTENSION)
BACHELOR OF AGRICULTURAL EDUCATION & EXTENSION
BACHELOR OF SCIENCE WITH EDUCATION
BACHELOR OF SCIENCE (INTEGRATED FOREST RESOURCES MANAGEMENT)
BACHELOR OF SCIENCE (CROP PROTECTION)
BACHELOR OF SCIENCE (CROP IMPROVEMENT & PROTECTION)
BACHELOR OF SCIENCE (COMMUNITY HEALTH & DEVELOPMENT)
BACHELOR OF TECHNOLOGY (TECHNICAL AND APPLIED PHYSICS)
BACHELOR OF TECHNOLOGY (INDUSTRIAL AND APPLIED CHEMISTRY)
BACHELOR OF SCIENCE (INFORMATICS)
BACHELOR OF COMMERCE IN MANAGEMENT INFORMATION SYSTEMS
BACHELOR OF SCIENCE (EXERCISE & SPORT SCIENCE)
BACHELOR OF SPORTS MANAGEMENT
BACHELOR OF SCIENCE (HEALTH PROMOTION)
BACHELOR OF SCIENCE (BIOCHEMISTRY AND MOLECULAR BIOLOGY)
BACHELOR OF SCIENCE (MOLECULAR & CELLULAR BIOLOGY)
BACHELOR OF SCIENCE IN MOLECULAR BIOLOGY AND FORENSIC TECHNOLOGY
BACHELOR OF EDUCATION (ICT)
BACHELOR OF EDUCATION TECHNOLOGY (COMPUTER STUDIES)
"BACHELOR OF ARTS (RELIGION, WITH IT)"
BACHELOR OF ARTS (RELIGIOUS STUDIES)
BACHELOR OF ARTS IN THEOLOGY
BACHELOR OF BUSINESS LEADERSHIP
BACHELOR OF SCIENCE IN AUTOMOTIVE TECHNOLOGY
BACHELOR OF ARTS IN LEADERSHIP AND MANAGEMENT
BACHELOR OF COMMUNICATION AND MEDIA STUDIES
BACHELOR OF COMMUNICATION AND PUBLIC RELATIONS
BACHELOR OF COMMUNICATION & PUBLIC RELATIONS
BACHELOR OF SCIENCE (CORPORATE COMMUNICATION AND MANAGEMENT)
BACHELOR OF SCIENCE IN DENTAL TECHNOLOGY
BACHELOR OF SCIENCE IN LEATHER TECHNOLOGY [image]
BACHELOR OF SCIENCE (BOTANY)
BACHELOR OF SCIENCE (PARAMEDIC SCIENCE)
BACHELOR OF SCIENCE (ZOOLOGY)
BACHELOR OF SCIENCE (PHYSIOTHERAPY)
BACHELOR OF SCIENCE (ACCOUNTANCY)
BACHELOR OF TECHNOLOGY (ENVIRONMENTAL RESOURCE MANAGEMENT)
BACHELOR OF TECHNOLOGY (OFFICE ADMINISTRATION AND TECHNOLOGY)
BACHELOR OF ACCOUNTANCY AND FINANCIAL MANAGEMENT
BACHELOR OF TECHNOLOGY (INSTITUTIONAL MANAGEMENT)
BACHELOR OF SCIENCE IN NETWORKS AND COMMUNICATION SYSTEMS
BACHELOR OF THE BUILT ENVIRONMENT (URBAN AND REGIONAL PLANNING)
BACHELOR OF SCIENCE (EVENT AND CONVENTION MANAGEMENT)
BACHELOR OF TECHNOLOGY (APPLIED BIOLOGY)
BACHELOR OF TECHNOLOGY (APPLIED STATISTICS)
BACHELOR OF TECHNOLOGY (COMMUNICATION AND COMPUTER NETWORKS)
BACHELOR OF SCIENCE (APPLIED BIOLOGY)
BACHELOR OF SCIENCE (SOIL SCIENCE)
BACHELOR OF SCIENCE(FOOD SECURITY)
BACHELOR OF ARTS(SPATIAL PLANNING)
BACHELOR OF SCIENCE (HYDROLOGY AND WATER RESOURCES MANAGEMENT)
BACHELOR OF SCIENCE (WATER RESOURCE MANAGEMENT)
BACHELOR OF SCIENCE (WATER AND ENVIRONMENT MANAGEMENT)
BACHELOR OF BUSINESS MANAGEMENT (CIVIL AVIATION MANAGEMENT)
"BACHELOR OF SCIENCE (GRAPHIC, COMMUNICATION AND ADVERTISING)"
BACHELOR OF SCIENCE (STRATEGIC MANAGEMENT)
